book_id,title,author_name,image_url,best_desc,genre,tone,description
1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,https://images.gr-assets.com/books/1361039191m/1.jpg,"the war against voldemort is not going well: even muggle governments are noticing. ron scans the obituary pages of the daily prophet looking for familiar names. dumbledore is absent from hogwarts for long stretches of time, and the order of the phoenix has already suffered losses. and yet... as in all wars, life goes on. sixth-year students learn to apparate, and lose a few eyebrows in the process. the weasley twins expand their business. teenagers flirt and fight and fall in love. classes are never straightforward, though harry receives some extraordinary help from the mysterious half-blood prince. so it's the home front that takes center stage in the multilayered sixth installment of the story of harry potter. harry struggles to uncover the identity of the half-blood prince, the past owner of a potions textbook he now possesses that is filled with ingenious, potentially deadly, spells. but harry's life is suddenly changed forever when someone close to him is heinously murdered right before his eyes. with dumbledore's guidance, he seeks out the full, complex story of the boy who became lord voldemort, and thereby attempts to find what may be his only vulnerability. --scholastic.com",Nonfiction,dark,"The war against Voldemort is not going well: even Muggle governments are noticing. Ron scans the obituary pages of The Daily Prophet looking for familiar names. Dumbledore is absent from Hogwarts for long stretches of time, and the Order of the Phoenix has already suffered losses. And yet... As in all wars, life goes on. Sixth-year students learn to Apparate, and lose a few eyebrows in the process. The Weasley twins expand their business. Teenagers flirt and fight and fall in love. Classes are never straightforward, though Harry receives some extraordinary help from the mysterious Half-Blood Prince. So it's the home front that takes center stage in the multilayered sixth installment of the story of Harry Potter. Harry struggles to uncover the identity of the Half-Blood Prince, the past owner of a potions textbook he now possesses that is filled with ingenious, potentially deadly, spells. But Harry's life is suddenly changed forever when someone close to him is heinously murdered right before his eyes. With Dumbledore's guidance, he seeks out the full, complex story of the boy who became Lord Voldemort, and thereby attempts to find what may be his only vulnerability.
--scholastic.com"
2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,https://images.gr-assets.com/books/1507396732m/2.jpg,"harry potter is due to start his fifth year at hogwarts school of witchcraft and wizardry. his best friends ron and hermione have been very secretive all summer and he is desperate to get back to school and find out what has been going on. however, what harry discovers is far more devastating than he could ever have expected... suspense, secrets and thrilling action from the pen of j.k. rowling ensure an electrifying adventure that is impossible to put down.",Fiction,uplifting,"Harry Potter is due to start his fifth year at Hogwarts School of Witchcraft and Wizardry. His best friends Ron and Hermione have been very secretive all summer and he is desperate to get back to school and find out what has been going on. However, what Harry discovers is far more devastating than he could ever have expected...
Suspense, secrets and thrilling action from the pen of J.K. Rowling ensure an electrifying adventure that is impossible to put down."
3,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,https://images.gr-assets.com/books/1474154022m/3.jpg,"harry potter's life is miserable. his parents are dead and he's stuck with his heartless relatives, who force him to live in a tiny closet under the stairs. but his fortune changes when he receives a letter that tells him the truth about himself: he's a wizard. a mysterious visitor rescues him from his relatives and takes him to his new home, hogwarts school of witchcraft and wizardry. after a lifetime of bottling up his magical powers, harry finally feels like a normal kid. but even within the wizarding community, he is special. he is the boy who lived: the only person to have ever survived a killing curse inflicted by the evil lord voldemort, who launched a brutal takeover of the wizarding world, only to vanish after failing to kill harry. though harry's first year at hogwarts is the best of his life, not everything is perfect. there is a dangerous secret object hidden within the castle walls, and harry believes it's his responsibility to prevent it from falling into evil hands. but doing so will bring him into contact with forces more terrifying than he ever could have imagined. full of sympathetic characters, wildly imaginative situations, and countless exciting details, the first installment in the series assembles an unforgettable magical world and sets the stage for many high-stakes adventures to come.",Fiction,uplifting,"Harry Potter's life is miserable. His parents are dead and he's stuck with his heartless relatives, who force him to live in a tiny closet under the stairs. But his fortune changes when he receives a letter that tells him the truth about himself: he's a wizard. A mysterious visitor rescues him from his relatives and takes him to his new home, Hogwarts School of Witchcraft and Wizardry.
After a lifetime of bottling up his magical powers, Harry finally feels like a normal kid. But even within the Wizarding community, he is special. He is the boy who lived: the only person to have ever survived a killing curse inflicted by the evil Lord Voldemort, who launched a brutal takeover of the Wizarding world, only to vanish after failing to kill Harry.
Though Harry's first year at Hogwarts is the best of his life, not everything is perfect. There is a dangerous secret object hidden within the castle walls, and Harry believes it's his responsibility to prevent it from falling into evil hands. But doing so will bring him into contact with forces more terrifying than he ever could have imagined.
Full of sympathetic characters, wildly imaginative situations, and countless exciting details, the first installment in the series assembles an unforgettable magical world and sets the stage for many high-stakes adventures to come."
5,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,https://images.gr-assets.com/books/1499277281m/5.jpg,"harry potter's third year at hogwarts is full of new dangers. a convicted murderer, sirius black, has broken out of azkaban prison, and it seems he's after harry. now hogwarts is being patrolled by the dementors, the azkaban guards who are hunting sirius. but harry can't imagine that sirius or, for that matter, the evil lord voldemort could be more frightening than the dementors themselves, who have the terrible power to fill anyone they come across with aching loneliness and despair. meanwhile, life continues as usual at hogwarts. a top-of-the-line broom takes harry's success at quidditch, the sport of the wizarding world, to new heights. a cute fourth-year student catches his eye. and he becomes close with the new defense of the dark arts teacher, who was a childhood friend of his father. yet despite the relative safety of life at hogwarts and the best efforts of the dementors, the threat of sirius black grows ever closer. but if harry has learned anything from his education in wizardry, it is that things are often not what they seem. tragic revelations, heartwarming surprises, and high-stakes magical adventures await the boy wizard in this funny and poignant third installment of the beloved series. --scholastic.com",Fiction,uplifting,"Harry Potter's third year at Hogwarts is full of new dangers. A convicted murderer, Sirius Black, has broken out of Azkaban prison, and it seems he's after Harry. Now Hogwarts is being patrolled by the dementors, the Azkaban guards who are hunting Sirius. But Harry can't imagine that Sirius or, for that matter, the evil Lord Voldemort could be more frightening than the dementors themselves, who have the terrible power to fill anyone they come across with aching loneliness and despair. Meanwhile, life continues as usual at Hogwarts. A top-of-the-line broom takes Harry's success at Quidditch, the sport of the Wizarding world, to new heights. A cute fourth-year student catches his eye. And he becomes close with the new Defense of the Dark Arts teacher, who was a childhood friend of his father. Yet despite the relative safety of life at Hogwarts and the best efforts of the dementors, the threat of Sirius Black grows ever closer. But if Harry has learned anything from his education in wizardry, it is that things are often not what they seem. Tragic revelations, heartwarming surprises, and high-stakes magical adventures await the boy wizard in this funny and poignant third installment of the beloved series.
--scholastic.com"
6,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,https://images.gr-assets.com/books/1361482611m/6.jpg,"harry potter is midway through his training as a wizard and his coming of age. harry wants to get away from the pernicious dursleys and go to the international quidditch cup. he wants to find out about the mysterious event that's supposed to take place at hogwarts this year, an event involving two other rival schools of magic, and a competition that hasn't happened for a hundred years. he wants to be a normal, fourteen-year-old wizard. but unfortunately for harry potter, he's not normal - even by wizarding standards. and in his case, different can be deadly. --back cover",Fiction,uplifting,"Harry Potter is midway through his training as a wizard and his coming of age. Harry wants to get away from the pernicious Dursleys and go to the International Quidditch Cup. He wants to find out about the mysterious event that's supposed to take place at Hogwarts this year, an event involving two other rival schools of magic, and a competition that hasn't happened for a hundred years. He wants to be a normal, fourteen-year-old wizard. But unfortunately for Harry Potter, he's not normal - even by wizarding standards.
And in his case, different can be deadly.
--back cover"
11,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,https://images.gr-assets.com/books/1327656754m/11.jpg,"seconds before the earth is demolished to make way for a galactic freeway, arthur dent is plucked off the planet by his friend ford prefect, a researcher for the revised edition of the hitchhiker's guide to the galaxy who, for the last fifteen years, has been posing as an out-of-work actor. together this dynamic pair begin a journey through space aided by quotes from the hitchhiker's guide (""a towel is about the most massively useful thing an interstellar hitchhiker can have"") and a galaxy-full of fellow travelers: zaphod beeblebrox--the two-headed, three-armed ex-hippie and totally out-to-lunch president of the galaxy; trillian, zaphod's girlfriend (formally tricia mcmillan), whom arthur tried to pick up at a cocktail party once upon a time zone; marvin, a paranoid, brilliant, and chronically depressed robot; veet voojagig, a former graduate student who is obsessed with the disappearance of all the ballpoint pens he bought over the years.",Nonfiction,uplifting,"Seconds before the Earth is demolished to make way for a galactic freeway, Arthur Dent is plucked off the planet by his friend Ford Prefect, a researcher for the revised edition of The Hitchhiker's Guide to the Galaxy who, for the last fifteen years, has been posing as an out-of-work actor.
Together this dynamic pair begin a journey through space aided by quotes from The Hitchhiker's Guide (""A towel is about the most massively useful thing an interstellar hitchhiker can have"") and a galaxy-full of fellow travelers: Zaphod Beeblebrox--the two-headed, three-armed ex-hippie and totally out-to-lunch president of the galaxy; Trillian, Zaphod's girlfriend (formally Tricia McMillan), whom Arthur tried to pick up at a cocktail party once upon a time zone; Marvin, a paranoid, brilliant, and chronically depressed robot; Veet Voojagig, a former graduate student who is obsessed with the disappearance of all the ballpoint pens he bought over the years."
33,"The Lord of the Rings (The Lord of the Rings, #1-3)",J.R.R. Tolkien,https://images.gr-assets.com/books/1411114164m/33.jpg,"a fantastic starter set for new tolkien fans or readers interested in rediscovering the magic of middle-earth, this three-volume box set features paperback editions of the complete trilogy -- the fellowship of the ring, the two towers,and the return of the king-- each with art from the new line productions feature film on the cover. j.r.r. tolkien's the lord of the ringstrilogy is a genuine masterpiece. the most widely read and influential fantasy epic of all time, it is also quite simply one of the most memorable and beloved tales ever told. originally published in 1954, the lord of the ringsset the framework upon which all epic/quest fantasy since has been built. through the urgings of the enigmatic wizard gandalf, young hobbit frodo baggins embarks on an urgent, incredibly treacherous journey to destroy the one ring. this ring -- created and then lost by the dark lord, sauron, centuries earlier -- is a weapon of evil, one that sauron desperately wants returned to him. with the power of the ring once again his own, the dark lord will unleash his wrath upon all of middle-earth. the only way to prevent this horrible fate from becoming reality is to return the ring to mordor, the only place it can be destroyed. unfortunately for our heroes, mordor is also sauron's lair. the lord of the ringstrilogy is essential reading not only for fans of fantasy but for lovers of classic literature as well... librarian's note: this edition shares an isbn with the published by houghton mifflin company",Fiction,uplifting,"A fantastic starter set for new Tolkien fans or readers interested in rediscovering the magic of Middle-earth, this three-volume box set features paperback editions of the complete trilogy -- The Fellowship of the Ring, The Two Towers,and The Return of the King-- each with art from the New Line Productions feature film on the cover.
J.R.R. Tolkien's The Lord of the Ringstrilogy is a genuine masterpiece. The most widely read and influential fantasy epic of all time, it is also quite simply one of the most memorable and beloved tales ever told. Originally published in 1954, The Lord of the Ringsset the framework upon which all epic/quest fantasy since has been built. Through the urgings of the enigmatic wizard Gandalf, young hobbit Frodo Baggins embarks on an urgent, incredibly treacherous journey to destroy the One Ring. This ring -- created and then lost by the Dark Lord, Sauron, centuries earlier -- is a weapon of evil, one that Sauron desperately wants returned to him. With the power of the ring once again his own, the Dark Lord will unleash his wrath upon all of Middle-earth. The only way to prevent this horrible fate from becoming reality is to return the Ring to Mordor, the only place it can be destroyed. Unfortunately for our heroes, Mordor is also Sauron's lair. The Lord of the Ringstrilogy is essential reading not only for fans of fantasy but for lovers of classic literature as well...
Librarian's note: this edition shares an ISBN with the published by Houghton Mifflin Company"
34,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,https://images.gr-assets.com/books/1298411339m/34.jpg,"one ring to rule them all, one ring to find them, one ring to bring them all and in the darkeness bind them in ancient times the rings of power were crafted by the elven-smiths, and sauron, the dark lord, forged the one ring, filling it with his own power so that he could rule all others. but the one ring was taken from him, and though he sought it throughout middle-earth, it remained lost to him. after many ages it fell into the hands of bilbo baggins, as told in the hobbit. in a sleepy village in the shire, young frodo baggins finds himself faced with an immense task, as his elderly cousin bilbo entrusts the ring to his care. frodo must leave his home and make a perilous journey across middle-earth to the cracks of doom, there to destroy the ring and foil the dark lord in his evil purpose.",Fiction,uplifting,"One Ring to rule them all, One Ring to find them, One Ring to bring them all and in the darkeness bind them
In ancient times the Rings of Power were crafted by the Elven-smiths, and Sauron, The Dark Lord, forged the One Ring, filling it with his own power so that he could rule all others. But the One Ring was taken from him, and though he sought it throughout Middle-earth, it remained lost to him. After many ages it fell into the hands of Bilbo Baggins, as told in The Hobbit.
In a sleepy village in the Shire, young Frodo Baggins finds himself faced with an immense task, as his elderly cousin Bilbo entrusts the Ring to his care. Frodo must leave his home and make a perilous journey across Middle-earth to the Cracks of Doom, there to destroy the Ring and foil the Dark Lord in his evil purpose."
59,The Changeling Sea,Patricia A. McKillip,https://images.gr-assets.com/books/1413281953m/59.jpg,"since the day her father's fishing boat returned without him, peri and her mother have mourned his loss. her mother sinks into a deep depression and spends her days gazing out at the sea. unable to control her anger and sadness any longer, peri uses the small magic she knows to hex the sea. and suddenly into her drab life come the king's sons--changelings with strange ties to the underwater kingdom--a young magician, and, finally, love.",Fiction,uplifting,"Since the day her father's fishing boat returned without him, Peri and her mother have mourned his loss. Her mother sinks into a deep depression and spends her days gazing out at the sea. Unable to control her anger and sadness any longer, Peri uses the small magic she knows to hex the sea. And suddenly into her drab life come the King's sons--changelings with strange ties to the underwater kingdom--a young magician, and, finally, love."
264,The Portrait of a Lady,Henry James,https://images.gr-assets.com/books/1502148606m/264.jpg,"when isabel archer, a beautiful, spirited american, is brought to europe by her wealthy aunt touchett, it is expected that she will soon marry. but isabel, resolved to determine her own fate, does not hesitate to turn down two eligible suitors. she then finds herself irresistibly drawn to gilbert osmond, who, beneath his veneer of charm and cultivation, is cruelty itself. a story of intense poignancy, isabel's tale of love and betrayal still resonates with modern audiences.",Fiction,dark,"When Isabel Archer, a beautiful, spirited American, is brought to Europe by her wealthy Aunt Touchett, it is expected that she will soon marry. But Isabel, resolved to determine her own fate, does not hesitate to turn down two eligible suitors. She then finds herself irresistibly drawn to Gilbert Osmond, who, beneath his veneer of charm and cultivation, is cruelty itself. A story of intense poignancy, Isabel's tale of love and betrayal still resonates with modern audiences."
